track,artist,total_streams,spotify_link,genre
Shape of You,Ed Sheeran,2561858449,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,pop
Dance Monkey,Tones And I,1977350595,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,pop
bad guy,Billie Eilish,1626562811,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,pop
Perfect,Ed Sheeran,1525083056,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,pop
Someone You Loved,Lewis Capaldi,1460020967,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,pop
SAD!,XXXTENTACION,1384600058,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,pop
Se–orita,"Shawn Mendes, Camila Cabello",1341350079,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,pop
Say You Won't Let Go,James Arthur,1297986004,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,pop
Happier,"Marshmello, Bastille",1294102267,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,pop
Better Now,Post Malone,1219548035,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,pop
Se–orita,"Shawn Mendes, Camila Cabello",1341350079,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,r-b
Jocelyn Flores,XXXTENTACION,1250387323,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,r-b
Better Now,Post Malone,1219548035,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,r-b
Blinding Lights,The Weeknd,1213604384,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,r-b
Circles,Post Malone,1143933340,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,r-b
7 rings,Ariana Grande,1117945065,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,r-b
Sweet but Psycho,Ava Max,926645669,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,r-b
Without Me,Halsey,881663895,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,r-b
Too Good At Goodbyes,Sam Smith,759671704,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,r-b
Roses - Imanbek Remix,SAINt JHN,743328586,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,r-b
Perfect,Logic,1525083056,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,rap
SAD!,XXXTENTACION,1384600058,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,rap
Jocelyn Flores,XXXTENTACION,1250387323,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,rap
Better Now,Post Malone,1219548035,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,rap
rockstar (feat. 21 Savage),Post Malone,1086155587,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,rap
The Box,Roddy Ricch,1084022570,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,rap
goosebumps,Travis Scott,1081888107,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,rap
Moonlight,XXXTENTACION,1020008616,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,rap
Congratulations,"Post Malone, Quavo",945850923,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,rap
HUMBLE.,Kendrick Lamar,922293728,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,rap
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",1448860704,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,rock
Shallow,"Lady Gaga, Bradley Cooper",1317216825,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,rock
Circles,Post Malone,1143933340,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,rock
Watermelon Sugar,Harry Styles,889687061,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,rock
Believer,Imagine Dragons,836743272,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,rock
Before You Go,Lewis Capaldi,707784164,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,rock
Bohemian Rhapsody - Remastered 2011,Queen,596546518,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,rock
Thunder,Imagine Dragons,542569100,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,rock
Thinking out Loud,Ed Sheeran,531279985,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,rock
Believer,Imagine Dragons,525616849,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,rock
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,671917601,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,country
Unforgettable,Thomas Rhett,650578985,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,country
Body Like A Back Road,Sam Hunt,218658213,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO,country
You should be sad,Halsey,215981753,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,country
One Thing Right,"Marshmello, Kane Brown",184788700,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,country
Say Something (feat. Chris Stapleton),Justin Timberlake,175104640,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS,country
Jingle Bell Rock,Bobby Helms,174567207,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,country
Unforgettable,Thomas Rhett,172693953,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW,country
Lover,Taylor Swift,156747718,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,country
July,Noah Cyrus,155645092,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,country
